전공,졸업당시나이,알바 여부,월 소득,직장_만족도,직장_전공일치정도,직장_요구자격증여부,합격경험,복수전공여부,복수전공명,부전공여부,부전공명,군복무경험,휴학학기수,졸업유예경험,대학원경험,재학중재직경험,어학연수경험,토익점수,취업목표유무,자격증여부,자격증_1,자격증_2,자격증_3,구직활동경험,공모전수상,대외활동,면접훈련,중요도_근로소득,중요도_흥미,중요도_전공관련성,중요도_개인발전가능성,중요도_직업자체전망,중요도_직장안정성,중요도_근무환경,중요도_복리후생,중요도_회사규모,중요도_출퇴근거리,중요도_사회적평판,하루평균수면시간,흡연여부,음주선호도,삶의 만족도,부모님자산규모,월평균생활비,학교소재,졸업 평점 유형,졸업 평점,현재 건강상태
C010104,22,2,150,4,3,2,,,,,,1,0,2,2,1,1,,2,2,,,,,2,2,2,4,4,4,4,4,4,4,4,4,4,4,6,2,4,6,2,,4,3,4,4
C010104,22,2,180,2,1,2,,,,,,7,0,2,2,1,2,,2,2,,,,,2,2,2,4,5,1,4,3,4,3,3,3,4,3,7,1,5,5,4,,4,3,4,4
C010105,43,2,160,3,2,2,,,,,,1,2,2,2,1,2,,1,2,,,,,1,2,2,4,4,3,4,4,3,3,3,3,3,3,5,1,3,4,2,,1,3,4.3,3
C010105,22,,,,,,,,,,,6,0,2,1,2,2,,2,1,4031100,,,2,1,1,2,5,5,5,5,5,5,4,5,5,3,5,7,2,3,6,5,20,1,3,3.8,4
C010105,22,2,127,1,2,2,,,,,,1,0,2,2,2,2,,1,2,,,,,2,2,1,5,4,2,4,4,4,4,4,2,3,2,7,2,3,5,1,,1,3,3.8,4
C010105,22,,,,,,0,,,,,1,0,2,2,1,2,,2,2,,,,,2,2,2,4,4,3,3,4,4,4,4,3,4,4,6,2,4,4,5,,1,3,3.5,4
C010105,23,,,,,,2,,,,,1,0,2,2,2,2,,1,2,,,,,2,1,2,2,5,4,4,3,3,4,3,3,2,3,4,2,4,6,3,20,2,3,4.3,2
C010105,31,,,,,,,,,,,2,4,2,2,1,2,,1,2,,,,2,2,2,2,5,5,5,5,5,5,4,4,4,5,3,7,1,5,4,4,50,2,3,3,3
C010105,24,1,180,4,4,2,,,,,,1,2,2,2,1,2,,2,2,,,,,2,2,2,4,4,4,4,4,4,4,4,4,4,4,8,2,1,5,3,,2,3,3.5,3
C010105,23,2,100,2,4,2,,,,,,1,0,2,1,1,2,,1,2,,,,,2,1,2,5,5,4,5,4,2,4,4,2,4,2,5,2,2,5,2,,2,3,3.5,3
C010105,25,1,80,3,3,2,,,,,,1,1,2,2,1,2,,2,2,,,,,2,1,2,5,5,5,5,5,5,5,5,3,1,4,7,2,4,6,1,,2,1,3.2,3
C010105,26,2,240,3,1,2,,,,,,2,4,2,2,2,2,,2,1,-1,-1,-1,,2,2,2,4,5,2,5,5,5,5,5,3,3,3,5,2,4,7,6,,2,3,3.5,4
C010105,21,,,,,,0,,,,,1,0,2,2,2,2,,1,1,4111000,,,,2,2,2,5,5,4,5,5,5,4,5,4,5,5,8,2,1,5,3,20,2,3,3.3,4
C010105,23,,,,,,,,,,,1,0,2,1,2,2,,1,2,,,,1,2,2,1,3,4,4,4,4,4,4,4,3,3,3,7,2,1,7,2,,2,3,4,5
C010106,23,2,291,5,1,2,,,,,,1,0,2,1,2,2,,2,1,2037900,2058500,,,2,2,2,4,4,4,4,4,4,4,4,4,4,4,6,2,3,6,3,,4,3,3.5,4
C010106,23,2,160,2,1,2,,,,,,1,0,2,2,1,2,750,2,2,,,,,2,2,2,4,4,4,4,4,4,4,4,4,4,4,6,2,4,3,4,,4,1,4,1
C010106,31,,,,,,1,,,,,1,0,2,2,2,1,,1,1,2014401,,,,2,2,2,4,4,2,3,3,5,5,5,2,4,2,6,2,2,4,3,30,4,3,3.8,4
C010106,25,,,,,,,,,,,1,0,2,2,1,2,,2,2,,,,1,2,2,2,5,5,2,5,5,5,5,5,3,3,2,8,2,3,5,1,30,4,3,4,3
